"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1431168","","","","","Flughafen Curaçao","Hato International Airport","Aeropuerto Internacional Hato","aéroport international Hato","","","","","Aeroporto Internazionale di Hato","ハト国際空港","","Curaçao International Airport","Port lotniczy Curaçao","Aeroporto Internacional Hato","","Hato International Airport","","Sân bay quốc tế Hato","庫拉索國際機場"
"Q1257667","","","","","Flughafen Saipan","Saipan International Airport","Aeropuerto Internacional de Saipán","Saipan International Airport","","","","Bandar Udara Internasional Saipan","Saipan International Airport","サイパン国際空港","사이판 국제공항","Saipan International Airport","Port lotniczy Saipan","Saipan International Airport","Сайпан","Saipan International Airport","","Sân bay quốc tế Saipan","塞班國際機場"
"Q1378110","","","مطار يانتاي لايشان الدولي","","","Yantai Laishan International Airport","","aéroport international de Yantai Laishan","","","","","","煙台莱山国際空港","옌타이 라이산 국제공항","Yantai Laishan International Airport","Port lotniczy Yantai-Laishan","","","Yantai Laishan International Airport","","Sân bay quốc tế Lai Sơn Yên Đài","煙台萊山國際機場"
"Q1375451","","","مطار نانتشانغ تشانغبى الدولي","","","Nanchang Changbei International Airport","","aéroport international de Nanchang Changbei","","","","Bandar Udara Internasional Changbei Nanchang","","南昌昌北国際空港","난창 창베이 국제공항","Nanchang Changbei International Airport","Port lotniczy Nanchang-Changbei","","","Nanchang Changbei International Airport","","Sân bay quốc tế Xương Bắc Nam Xương","南昌昌北国际机场"
"Q1849321","","","","","","Agra airport","","","","आगरा विमानक्षेत्र","","","","アーグラ空港","","","Port lotniczy Agra","","","Agra Airport","","Sân bay Agra","阿格拉機場"
"Q1433022","","","مطار طنجة ابن بطوطة الدولي","","Flughafen Tanger-Boukhalef","Tangier Ibn Battouta Airport","Aeropuerto de Tánger","aéroport Tanger - Ibn Battouta","","","","","Aeroporto di Tangeri-Ibn Battuta","イブン・バットゥータ国際空港","","Internationale luchthaven Ibn Batouta","Port lotniczy Tanger","Aeroporto de Tânger-Ibn Batouta","","Tangier Ibn Battouta Airport","","Sân bay quốc tế Ibn Batouta","丹吉爾"
"Q1431740","","","","","Flughafen Kiruna","Kiruna Airport","Aeropuerto de Kiruna","aéroport de Kiruna","","","","Bandar Udara Kiruna","","キルナ","","Luchthaven Kiruna","Port lotniczy Kiruna","Aeroporto de Kiruna","","Kiruna Airport","","Sân bay Kiruna","基律納機場"
"Q9074","","","","","Flughafen Nueva Hesperides","Nueva Hespérides International Airport","Aeropuerto Internacional de Salto","aéroport international de Nueva Hesperides","","","","Bandar Udara Internasional Nueva Hesperides","Aeroporto internazionale di Salto","ヌエバ・ヘスペリデス国際空港","","","Port lotniczy Salto","Aeroporto de Salto","Международный аэропорт Сальто","","","",""
"Q839584","","","","","","Severomorsk-3","Base aérea Severomorsk-3","","","","Szeveromorszk–3","","","セヴェロモルスク-3基地","","Severomorsk-3","","Base aérea de Severomorsk-3","Североморск-3","","","",""
"Q4203278","","","","","","Irkutsk Northwest Airport","","","","","Irkutszk–2","","","","","","","","Иркутск-2","","","",""
"Q4079257","","","","","","Bataysk Air Base","","","","","","","","バタイスク空軍基地","","","","","Батайск","","","",""
"Q1433221","","","","","Flughafen Wewak","Wewak Airport","","","","","","","","ウェワク国際空港","","","Port lotniczy Wewak","","","","","",""
"Q8066777","","","","","","Zaria Airport","","Aéroport de Zaria","","","","","","ザリア空港","","","Port lotniczy Zaria","","","","","",""
"Q7639037","","","","","","Sunchon Airport","","","","","","","","順川空軍基地","순천 비행장","","","","","","","",""
"Q3274626","","","","","","Hindon Air Force Station","","","","","","","","ヒンドン空軍基地","","","","","","","","",""
"Q1934952","","","","","Militärflugplatz Bur Sudan","Port Sudan","","","","","","","","ポートスーダン軍用飛行場","","","","","","","","",""
"Q1837108","","","مطار باريس فاتري","","Flughafen Châlons Vatry","Châlons Vatry Airport","Aeropuerto de Châlons-Vatry","aéroport Châlons Vatry","","","","","Aeroporto di Châlons-Vatry","ヴァトリー国際空港","","Châlons Vatry Airport","","","","","","",""
"Q18499978","","","","","","Santos Airbase","","","","","","","","サントス空軍基地","","","","Base Aérea de Santos","","","","",""
"Q1433111","","","مطار توسان الدولي","","Tucson International Airport","Tucson International Airport","Aeropuerto Internacional de Tucson","aéroport international de Tucson","","","","","Aeroporto Internazionale di Tucson","ツーソン国際空港","","Tucson International Airport","","Aeroporto Internacional de Tucson","","","","",""
"Q2587316","","","","","Flughafen Ponta Porã","Ponta Porã International Airport","","","","","","","","ポンタ・ポラン空港","","","","Aeroporto Internacional de Ponta Porã","Понта-Поран","Ponta Pora Intl","","",""
